Symbols,GOOG,GOOGL,SPY,^TWII,MSFT,AMZN,TSLA,FB,NVDA,2330.TW,
0,786.1400146,808.0100098,225.2400055,9272.879883,62.58000183,753.6699829,43.39799881,116.8600006,25.50250053,183,2017/1/3
1,786.9000244,807.7700195,226.5800018,9286.959961,62.29999924,757.1799927,45.39799881,118.6900024,26.09749985,183,2017/1/4
2,794.0200195,813.0200195,226.3999939,9358.139648,62.29999924,780.4500122,45.34999847,120.6699982,25.43499947,183.5,2017/1/5
3,806.1500244,825.210022,227.2100067,9372.219727,62.84000015,795.9899902,45.80199814,123.4100037,25.77499962,184,2017/1/6
4,806.6500244,827.1799927,226.4600067,9342.419922,62.63999939,796.9199829,46.25600052,124.9000015,26.81999969,184,2017/1/9
5,804.789978,826.0100098,226.4600067,9349.639648,62.61999893,795.9000244,45.97399902,124.3499985,26.61750031,184,2017/1/10
6,807.9099731,829.8599854,227.1000061,9345.740234,63.18999863,799.0200195,45.94599915,126.0899963,26.29000092,182,2017/1/11
7,806.3599854,829.5300293,226.5299988,9410.179688,62.61000061,813.6400146,45.91799927,126.6200027,25.86000061,184.5,2017/1/12
8,807.8800049,830.9400024,227.0500031,9378.830078,62.70000076,817.1400146,47.54999924,128.3399963,25.85750008,181.5,2017/1/13
9,807.8800049,830.9400024,227.0500031,9292.330078,62.70000076,817.1400146,47.54999924,128.3399963,25.85750008,179.5,2017/1/16
10,804.6099854,827.460022,226.25,9354.530273,62.52999878,809.7199707,47.11600113,127.8700027,25.27750015,181,2017/1/17
11,806.0700073,829.0200195,226.75,9341.969727,62.5,807.4799805,47.67200089,127.9199982,25.73749924,181,2017/1/18
12,802.1749878,824.3699951,225.9100037,9318.120117,62.29999924,809.039978,48.7519989,127.5500031,26.29000092,180.5,2017/1/19
13,805.0200195,828.1699829,226.7400055,9331.459961,62.74000168,808.3300171,48.94599915,127.0400009,26.00250053,181,2017/1/20
14,819.3099976,844.4299927,226.1499939,9424.049805,62.95999908,817.8800049,49.7840004,128.9299927,26.27249908,185,2017/1/23
15,823.8699951,849.5300293,227.6000061,9447.950195,63.52000046,822.4400024,50.92200089,129.3699951,26.83250046,185.5,2017/1/24
16,835.6699829,858.4500122,229.5700073,9447.950195,63.68000031,836.5200195,50.89400101,131.4799957,26.94750023,185.5,2017/1/25
17,832.1500244,856.9799805,229.3300018,9447.950195,64.26999664,839.1500244,50.5019989,132.7799988,27.41250038,185.5,2017/1/26
18,823.3099976,845.0300293,228.9700012,9447.950195,65.77999878,835.7700195,50.59000015,132.1799927,27.94249916,185.5,2017/1/27
19,802.3200073,823.8300171,227.5500031,9447.950195,65.12999725,830.3800049,50.12599945,130.9799957,27.50499916,185.5,2017/1/30
20,796.789978,820.1900024,227.5299988,9447.950195,64.65000153,823.4799805,50.38600159,130.3200073,27.29500008,185.5,2017/1/31
21,795.6950073,815.2399902,227.6199951,9447.950195,63.58000183,832.3499756,49.84799957,133.2299957,28.48749924,185.5,2017/2/1
22,798.5300293,818.2600098,227.7700043,9428.969727,63.16999817,839.9500122,50.31000137,130.8399963,28.84749985,184.5,2017/2/2
23,801.4899902,820.1300049,229.3399963,9455.55957,63.68000031,810.2000122,50.26599884,130.9799957,28.59499931,184.5,2017/2/3
24,801.3400269,821.6199951,228.9299927,9538.009766,63.63999939,807.6400146,51.55400085,132.0599976,29.32749939,184.5,2017/2/6
